	AveExpr	Coef	t	P.value	P.value.adj	Results
AT5G15650.1	7.01678	0.698719	0.22902	0.42783878	0.99999982	0
AT5G15780.1	7.81431	-1.046106	-1.26215	0.12146073	0.939512061	0
AT5G15950.1	5.54516	0.393517	0	0.78842651	0.99999982	0
AT5G16110.1	6.77288	0.134371	0	0.89911147	0.99999982	0
AT5G16130.1	6.32547	0.270123	0	0.78748348	0.99999982	0
AT5G16390.1	6.54138	-0.296409	0	0.76685126	0.99999982	0
AT5G16400.1	6.83739	-0.758976	-0.36071	0.37502578	0.99999982	0
AT5G16620.1	6.44407	0.13431	0	0.89647163	0.99999982	0
AT5G16710.1	7.02064	-0.002955	0	0.99810056	0.99999982	0
AT5G16715.1	6.23449	0.872157	0.42346	0.37259892	0.99999982	0
AT5G16730.1	6.77864	-0.031635	0	0.97657833	0.99999982	0
AT5G16970.1	5.95052	-1.220001	-0.45928	0.44218262	0.99999982	0
AT5G17380.1	6.14776	1.119496	0.67571	0.28972349	0.99999982	0
AT5G17870.1	6.72484	0.920058	0.82053	0.2202335	0.99999982	0
AT5G17920.1	5.2615	1.074995	0.17115	0.72279254	0.99999982	0
AT5G17990.1	6.081	-0.009401	0	0.99333885	0.99999982	0
AT5G18380.1	7.59006	-0.375349	0	0.72934888	0.99999982	0
AT5G18500.1	6.10731	0.353427	0	0.73584399	0.99999982	0
AT5G18570.1	6.43189	-0.266295	0	0.8043151	0.99999982	0
AT5G18600.1	6.58963	-0.134082	0	0.89586346	0.99999982	0
AT5G18610.1	7.7531	0.215901	0	0.90307986	0.99999982	0
AT5G18660.1	6.63007	-0.526526	0	0.61779982	0.99999982	0
AT5G18670.1	7.73976	-0.503675	0	0.58981972	0.99999982	0
AT5G19120.1	8.1106	-0.480178	0	0.62594146	0.99999982	0
AT5G19140.1	8.48177	-0.05538	0	0.97544371	0.99999982	0
AT5G19190.1	5.66799	-2.328789	-0.92036	0.27216338	0.99999982	0
AT5G19220.1	8.13024	0.22006	0	0.92447868	0.99999982	0
AT5G19240.1	8.69051	-0.69778	-0.40353	0.34915216	0.99999982	0
AT5G19250.1	7.93342	-0.681654	-0.32499	0.37785145	0.99999982	0
AT5G19510.1	7.36616	0.802467	0.63928	0.27151717	0.99999982	0
AT5G19540.1	6.85955	-0.793058	-0.40934	0.35911659	0.99999982	0
AT5G19590.1	6.32501	-2.040813	-0.93572	0.25205325	0.99999982	0
AT5G19690.1	6.71246	-0.629381	-0.06309	0.53622288	0.99999982	0
AT5G19760.1	7.88612	0.29203	0	0.80692456	0.99999982	0
AT5G19770.1	7.99629	-0.334981	0	0.74727944	0.99999982	0
AT5G19780.1	6.87096	1.709643	2.71349	0.01299769	0.39538637	0
AT5G19820.1	7.23376	0.276511	0	0.82789579	0.99999982	0
AT5G19855.1	5.82317	-0.387719	0	0.83365911	0.99999982	0
AT5G19940.1	7.08622	-1.160806	-0.47989	0.41295365	0.99999982	0
AT5G19990.1	5.82795	0.313398	0	0.78083824	0.99999982	0
AT5G20010.1	8.25079	-0.178231	0	0.93060421	0.99999982	0
AT5G20020.1	6.57979	0.147815	0	0.88465234	0.99999982	0
AT5G20190.1	6.15614	0.724672	0.26344	0.41808641	0.99999982	0
AT5G20230.1	8.22889	1.238923	2.74728	0.01212127	0.378060945	0
AT5G20250.4	6.3808	-3.454273	-0.27124	0.75246535	0.99999982	0
AT5G20280.1	7.07748	0.177405	0	0.87766995	0.99999982	0
AT5G20290.1	8.74363	-0.042996	0	0.9884711	0.99999982	0
AT5G20490.1	6.46774	0.974316	0.89843	0.20033807	0.99999982	0
AT5G20630.1	8.72803	-0.593768	-0.04009	0.4847732	0.99999982	0
AT5G20700.1	7.60493	1.850155	4.36363	0.00109794	0.084541325	0
AT5G20890.1	5.86975	-0.296616	0	0.81924216	0.99999982	0
AT5G20990.1	6.34573	0.438244	0	0.64858994	0.99999982	0
AT5G21020.2	6.71712	-0.108344	0	0.9157064	0.99999982	0
AT5G21090.1	6.88796	1.065796	1.1398	0.14507128	0.953749755	0
AT5G21222.1	6.72306	-0.672912	-0.16696	0.45707188	0.99999982	0
AT5G21930.1	6.63007	1.443551	0.97468	0.20304436	0.99999982	0
AT5G21940.1	7.47038	-0.583692	0	0.52518962	0.99999982	0
AT5G22000.2	6.1888	0.994427	0.6969	0.26569294	0.99999982	0
AT5G22060.1	6.7107	1.01882	0.97173	0.18254961	0.997399338	0
AT5G22090.1	7.00867	0.326393	0	0.76338031	0.99999982	0
AT5G22450.1	6.68088	-0.972615	-0.4325	0.39761909	0.99999982	0
AT5G22640.1	7.29799	-2.041665	-1.30541	0.13587462	0.950375271	0
AT5G22800.1	7.10281	0.253819	0	0.82365397	0.99999982	0
AT5G22920.1	7.04715	-0.503131	0	0.59023194	0.99999982	0
AT5G23010.1	5.12997	3.884686	3.12119	0.00805344	0.284221174	0
AT5G23020.1	6.18033	1.550889	1.45716	0.09659714	0.915267873	0
AT5G23040.1	6.87272	0.016992	0	0.98693251	0.99999982	0
AT5G23060.1	8.38317	0.113304	0	0.95982624	0.99999982	0
AT5G23120.1	8.55787	-0.653965	-0.2954	0.3877686	0.99999982	0
AT5G23150.1	5.51717	1.452154	0.91408	0.2244935	0.99999982	0
AT5G23630.1	5.95874	1.035457	0.64061	0.29390688	0.99999982	0
AT5G23740.1	5.58242	1.651773	1.16556	0.15758156	0.961091495	0
AT5G24030.1	7.39821	-0.395165	0	0.69501967	0.99999982	0
AT5G24160.1	6.21657	-1.82714	-0.8215	0.29099231	0.99999982	0
AT5G24210.1	8.0485	0.954871	1.28035	0.11773942	0.939512061	0
AT5G24490.1	8.3513	-1.88482	-3.44087	0.00420888	0.188558009	0
AT5G24530.1	6.4253	1.697005	2.09482	0.03522558	0.71732084	0
AT5G24690.1	7.20736	-0.853282	-0.49399	0.33118468	0.99999982	0
AT5G24810.2	5.281	2.24075	1.45807	0.10893729	0.932681877	0
AT5G24930.1	8.09347	-0.484079	0	0.62139077	0.99999982	0
AT5G25250.1	5.93215	1.255534	1.00398	0.18374579	0.997399338	0
