	AveExpr	Coef	t	P.value	P.value.adj	Results
AT4G27000.1	6.57899	0.261038	0	0.79510385	0.99999982	0
AT4G27090.1	7.6238	-0.652884	-0.15019	0.45438213	0.99999982	0
AT4G27280.1	7.79999	-1.95556	-2.47737	0.01934625	0.535608446	0
AT4G27300.1	6.06306	0.345918	0	0.73569636	0.99999982	0
AT4G27430.1	6.76855	-0.242295	0	0.81733492	0.99999982	0
AT4G27440.1	8.88461	-1.37644	-3.27379	0.0053456	0.219525793	0
AT4G27450.1	6.25315	-1.140987	-0.40697	0.46745594	0.99999982	0
AT4G27500.1	7.95614	-0.256338	0	0.85548926	0.99999982	0
AT4G27520.1	8.68411	-0.218307	0	0.94249256	0.99999982	0
AT4G27600.1	6.85349	-1.235469	-1.03924	0.1733275	0.990902487	0
AT4G27800.1	5.71755	0.977913	0.33134	0.48557824	0.99999982	0
AT4G28080.1	9.86182	-0.08669	0	0.99379763	0.99999982	0
AT4G28300.1	6.6174	0.44326	0	0.65431962	0.99999982	0
AT4G28750.1	10.85443	-1.434011	-4.55129	0.00084168	0.079765095	0
AT4G29010.1	6.88008	-0.340319	0	0.7331192	0.99999982	0
AT4G29060.1	9.31175	0.292994	0	0.77941292	0.99999982	0
AT4G29220.1	6.25674	0.3209	0	0.74650985	0.99999982	0
AT4G29350.1	7.39178	0.837163	0.60712	0.28420713	0.99999982	0
AT4G29380.1	5.38217	1.918943	1.21755	0.15352069	0.955239866	0
AT4G29780.1	6.67608	0.359436	0	0.73217015	0.99999982	0
AT4G29840.1	6.38364	-0.051421	0	0.96493137	0.99999982	0
AT4G29900.1	7.5708	0.109304	0	0.94619431	0.99999982	0
AT4G30190.2	5.35005	-0.885996	-0.15317	0.67832483	0.99999982	0
AT4G30270.1	8.3344	0.007262	0	0.99552427	0.99999982	0
AT4G30440.1	8.53554	-0.405305	0	0.75349796	0.99999982	0
AT4G30530.1	6.37598	0.408648	0	0.68351717	0.99999982	0
AT4G30600.1	6.74656	-0.389891	0	0.69495811	0.99999982	0
AT4G30920.1	7.42569	0.541526	0	0.55460001	0.99999982	0
AT4G30950.1	8.96953	-0.009076	0	0.99847309	0.99999982	0
AT4G30960.1	6.49865	0.933709	0.76455	0.23770205	0.99999982	0
AT4G31040.1	5.89198	0.12469	0	0.93879735	0.99999982	0
AT4G31490.1	6.42076	0.335075	0	0.74055844	0.99999982	0
AT4G31500.1	7.44229	1.033429	1.1126	0.15022811	0.953749755	0
AT4G31700.1	5.92949	-1.215605	-0.22295	0.68521369	0.99999982	0
AT4G31985.1	7.03289	-1.112408	-0.78552	0.24406111	0.99999982	0
AT4G32020.1	8.03496	-1.095514	-1.0441	0.16703272	0.979925315	0
AT4G32060.1	7.16742	-2.687195	-1.53516	0.10220429	0.915267873	0
AT4G32190.1	6.46856	-0.178541	0	0.86193948	0.99999982	0
AT4G32260.1	10.85188	-0.424851	0	0.88001325	0.99999982	0
AT4G32285.1	5.80932	1.45914	1.02454	0.18830255	0.99999982	0
AT4G32300.1	5.66799	0.720282	0.12996	0.57182882	0.99999982	0
AT4G32340.1	6.41353	-2.375946	-1.12756	0.19433095	0.99999982	0
AT4G32410.1	8.19545	0.552213	0	0.54281503	0.99999982	0
AT4G32480.1	6.53322	-1.016763	-0.40941	0.42916588	0.99999982	0
AT4G33010.1	11.76376	0.353756	0	0.97341599	0.99999982	0
AT4G33050.2	6.83742	1.214149	1.78658	0.05554278	0.847103772	0
AT4G33090.1	6.88359	-0.318806	0	0.74849836	0.99999982	0
AT4G33210.1	5.80932	1.320599	0.85652	0.23579257	0.99999982	0
AT4G33300.1	7.42009	-0.979267	-0.81205	0.22543199	0.99999982	0
AT4G33510.1	7.82316	0.268791	0	0.79306557	0.99999982	0
AT4G33530.1	6.16773	0.99666	0.62705	0.29438068	0.99999982	0
AT4G33630.1	6.39152	-0.787565	-0.22236	0.49912422	0.99999982	0
AT4G33680.1	6.58182	-1.0062	-0.47283	0.37941031	0.99999982	0
AT4G33865.1	6.87981	-1.217853	-0.65661	0.31297449	0.99999982	0
AT4G33920.1	6.23042	0.803254	0.36268	0.38726823	0.99999982	0
AT4G34030.1	6.06131	0.813409	0.25687	0.47822945	0.99999982	0
AT4G34050.1	7.11417	-0.827107	-0.43512	0.35411925	0.99999982	0
AT4G34110.1	8.86632	0.160856	0	0.95861478	0.99999982	0
AT4G34120.1	6.87324	-1.21613	-0.85354	0.2284166	0.99999982	0
AT4G34138.1	5.74226	-2.45739	-1.03876	0.22822473	0.99999982	0
AT4G34150.1	8.77619	-0.323824	0	0.82380753	0.99999982	0
AT4G34180.1	6.19631	0.412952	0	0.67226784	0.99999982	0
AT4G34190.1	7.83289	-0.924712	-0.7168	0.25264303	0.99999982	0
AT4G34200.1	6.36739	1.139093	1.12299	0.15017328	0.953749755	0
AT4G34260.1	6.17802	0.804258	0.23728	0.49391769	0.99999982	0
AT4G34350.1	8.58244	0.389996	0	0.72374491	0.99999982	0
AT4G34450.1	7.55653	0.439487	0	0.65223922	0.99999982	0
AT4G34480.1	6.5224	0.952546	0.67881	0.26828515	0.99999982	0
AT4G34490.1	5.4426	1.871713	1.28247	0.13650214	0.950375271	0
AT4G34620.1	8.28536	-0.875157	-0.86605	0.20643313	0.99999982	0
AT4G34670.1	7.36459	-0.504084	0	0.59163285	0.99999982	0
AT4G34720.1	6.95181	-1.023143	-0.84144	0.21887728	0.99999982	0
AT4G34830.1	7.51016	0.753899	0.4514	0.33496979	0.99999982	0
AT4G34870.1	7.49538	-0.234461	0	0.82874079	0.99999982	0
AT4G34950.1	7.50126	0.396418	0	0.70063773	0.99999982	0
AT4G35000.1	6.70582	0.306673	0	0.75928596	0.99999982	0
AT4G35090.1	10.75806	0.192376	0	0.98747397	0.99999982	0
AT4G35100.1	9.00138	0.009272	0	0.99650337	0.99999982	0
AT4G35230.1	6.65181	0.469717	0	0.63056373	0.99999982	0
AT4G35250.1	7.65914	-0.76124	-0.33671	0.38830187	0.99999982	0
AT4G35310.1	7.5978	0.47901	0	0.63067588	0.99999982	0
AT4G35470.1	6.38406	-0.175179	0	0.87010147	0.99999982	0
AT4G35800.1	8.00659	-0.046688	0	0.97564551	0.99999982	0
AT4G35830.1	8.64739	0.400965	0	0.75980966	0.99999982	0
AT4G36020.1	5.76916	1.241524	0.77045	0.2626715	0.99999982	0
AT4G36040.1	7.14891	-2.486817	-1.48946	0.10736996	0.930092175	0
AT4G36210.3	5.76916	-0.107063	0	0.95514454	0.99999982	0
AT4G36220.1	6.03332	0.967305	0.6082	0.29841571	0.99999982	0
AT4G36250.1	5.93215	1.241355	0.9876	0.1876465	0.99999982	0
AT4G36390.1	6.70639	0.137871	0	0.90103792	0.99999982	0
AT4G36520.1	6.01306	0.05746	0	0.95900395	0.99999982	0
AT4G36648.1	6.47432	-0.545836	0	0.58515777	0.99999982	0
AT4G36690.1	6.80242	0.136321	0	0.90026528	0.99999982	0
AT4G36810.1	5.80999	-1.470055	-0.40702	0.53272234	0.99999982	0
AT4G36850.1	7.05731	-0.629391	-0.08791	0.48689775	0.99999982	0
AT4G37120.1	6.70639	0.116902	0	0.91838828	0.99999982	0
AT4G37200.1	6.4665	-1.815185	-0.98883	0.21944003	0.99999982	0
AT4G37260.1	6.98856	-0.284092	0	0.77845243	0.99999982	0
AT4G37270.1	6.26482	-0.787696	-0.19892	0.53028518	0.99999982	0
AT4G37300.1	7.02492	-0.075587	0	0.94523553	0.99999982	0
AT4G37460.1	6.40966	0.079813	0	0.93781816	0.99999982	0
AT4G37510.1	6.76999	-0.243595	0	0.81106018	0.99999982	0
AT4G37610.1	7.31212	-1.526555	-1.76281	0.05914007	0.852170398	0
AT4G37760.1	6.10789	-1.659067	-0.49954	0.47812498	0.99999982	0
AT4G37870.1	6.20191	0.618955	0.05615	0.51849864	0.99999982	0
AT4G37910.1	6.74292	0.05535	0	0.95757895	0.99999982	0
AT4G37925.1	6.61215	-0.748573	-0.22077	0.46934375	0.99999982	0
AT4G37930.1	12.10136	0.296307	0	0.98929495	0.99999982	0
AT4G37980.1	6.65779	-0.302115	0	0.76282296	0.99999982	0
AT4G38130.1	6.69831	-0.60374	-0.03922	0.5032016	0.99999982	0
AT4G38250.1	6.63591	-0.20888	0	0.84987416	0.99999982	0
AT4G38430.1	5.98507	0.76941	0.2875	0.42354655	0.99999982	0
AT4G38460.1	6.75473	-0.388895	0	0.69047881	0.99999982	0
AT4G38470.1	6.80298	-0.032126	0	0.97595094	0.99999982	0
AT4G38520.1	6.3394	0.969033	0.74986	0.24469406	0.99999982	0
AT4G38550.1	8.99552	-0.048188	0	0.97901834	0.99999982	0
AT4G38600.1	5.47503	-3.129023	-0.55821	0.5145602	0.99999982	0
AT4G38630.1	6.11422	0.562341	0	0.56162935	0.99999982	0
AT4G38680.1	7.04456	-0.185825	0	0.85842723	0.99999982	0
AT4G38740.1	7.72549	-1.60322	-2.03405	0.03853643	0.741826208	0
AT4G38770.1	8.62029	-0.368667	0	0.82254359	0.99999982	0
AT4G38800.1	6.142	-0.556169	0	0.64478505	0.99999982	0
AT4G38920.1	7.10907	-0.376731	0	0.70964358	0.99999982	0
AT4G38970.1	12.31503	-0.171178	0	0.99847846	0.99999982	0
AT4G39080.1	7.83661	0.411745	0	0.71312522	0.99999982	0
AT4G39090.1	8.67011	-0.202939	0	0.91645756	0.99999982	0
AT4G39200.1	6.83791	-0.937504	-0.34817	0.45294321	0.99999982	0
AT4G39260.1	7.58281	0.03178	0	0.98021936	0.99999982	0
AT4G39350.1	6.83776	1.357083	1.83025	0.05231417	0.84016177	0
AT4G39400.1	7.4537	-0.387137	0	0.6996749	0.99999982	0
AT4G39730.1	6.3859	-0.738529	-0.11032	0.64161231	0.99999982	0
AT4G39800.1	7.45574	-0.347948	0	0.7376569	0.99999982	0
AT4G39960.1	6.51505	-0.032666	0	0.97533406	0.99999982	0
AT4G39970.1	7.36571	-0.421854	0	0.66265974	0.99999982	0
AT4G40040.1	7.22707	0.178006	0	0.88430089	0.99999982	0
AT4G00300.2	7.04739	-0.046362	0	0.96435751	0.99999982	0
AT4G00430.2	7.26395	0.764527	0.39978	0.3577586	0.99999982	0
AT4G00630.1	6.10807	0.626927	0.0729	0.50527164	0.99999982	0
AT4G00810.2	6.48873	-0.117131	0	0.9121485	0.99999982	0
AT4G01100.1	5.79715	0.684714	0.10282	0.57302801	0.99999982	0
AT4G01330.1	6.66655	-1.194379	-0.85164	0.22737472	0.99999982	0
AT4G01690.2	5.87945	1.4808	0.85826	0.24820308	0.99999982	0
AT4G01800.1	7.51241	-0.150078	0	0.89145687	0.99999982	0
AT4G01850.2	5.72944	2.909061	2.06807	0.04237396	0.773403311	0
AT4G02260.2	6.04124	0.312392	0	0.76579634	0.99999982	0
AT4G02380.2	7.62886	0.815463	0.37051	0.38669316	0.99999982	0
AT4G02570.3	6.05652	1.852142	1.40385	0.11127197	0.932681877	0
AT4G02890.1	5.77886	1.287289	0.43895	0.47306026	0.99999982	0
AT4G02890.2	5.552	-0.072113	0	0.97481258	0.99999982	0
AT4G02890.4	6.49944	-0.711897	-0.06405	0.74047979	0.99999982	0
AT4G02920.1	6.93529	1.124472	0.49189	0.39582233	0.99999982	0
AT4G03020.2	6.2229	0.619252	0.05982	0.51057332	0.99999982	0
AT4G03260.2	6.20234	1.864295	1.65035	0.07431316	0.89484183	0
AT4G03520.2	6.35673	0.957069	0.35398	0.45558809	0.99999982	0
AT4G05050.3	5.86286	-0.962076	-0.15385	0.71311229	0.99999982	0
AT4G05320.1	7.76228	2.215607	1.55607	0.09199144	0.915267873	0
AT4G05320.6	5.19554	-2.707226	-0.65877	0.43166821	0.99999982	0
AT4G05420.2	6.12174	0.532636	0	0.59389141	0.99999982	0
AT4G09000.1	8.39242	0.380908	0	0.76497329	0.99999982	0
AT4G09040.2	5.57118	-0.778294	-0.10629	0.69600649	0.99999982	0
AT4G09150.1	5.99891	0.455424	0	0.66773418	0.99999982	0
AT4G12720.3	5.46833	-0.085048	0	0.96840785	0.99999982	0
AT4G14030.2	6.45308	1.463135	1.31673	0.11876092	0.939512061	0
AT4G14160.3	5.85758	0.655341	0.08516	0.55219315	0.99999982	0
AT4G14320.1	6.142	0.720637	0.21929	0.44906328	0.99999982	0
AT4G14710.2	6.03269	0.793297	0.23328	0.49047663	0.99999982	0
AT4G14880.2	6.6978	2.510088	1.7939	0.06427294	0.884740416	0
AT4G14960.1	4.99822	0.283995	0	0.88510016	0.99999982	0
AT4G15530.2	5.05095	-0.1399	0	0.94571518	0.99999982	0
AT4G15530.6	5.20816	0.91322	0.18556	0.63894221	0.99999982	0
AT4G18010.2	4.90992	1.142493	0.25299	0.63059017	0.99999982	0
AT4G18810.1	7.11162	-0.911395	-0.64158	0.27810725	0.99999982	0
AT4G19410.1	7.12098	1.768501	3.56656	0.00346395	0.169467087	0
AT4G20260.1	6.10358	2.142213	1.49044	0.10148069	0.915267873	0
AT4G20830.2	7.79255	0.000544	0	0.99976931	0.99999982	0
AT4G21210.2	5.22253	2.711804	1.76188	0.06969443	0.889777649	0
AT4G21280.1	10.5862	-0.423879	0	0.84649106	0.99999982	0
AT4G21450.1	5.9649	0.924386	0.42137	0.39022676	0.99999982	0
AT4G21860.3	5.66799	-0.742844	-0.08355	0.71839641	0.99999982	0
AT4G21990.2	5.26029	-0.268943	0	0.89957796	0.99999982	0
AT4G22890.2	7.60873	1.47987	1.86293	0.05016755	0.818628167	0
AT4G22890.4	5.89719	0.146199	0	0.94974731	0.99999982	0
AT4G22890.5	5.70599	-1.231803	-0.1776	0.74702635	0.99999982	0
AT4G23570.1	6.12174	-1.489294	-0.49249	0.46256488	0.99999982	0
AT4G24190.2	6.77666	-2.007333	-0.92989	0.25278281	0.99999982	0
AT4G24220.2	6.44504	-2.761148	-1.3216	0.14827212	0.953749755	0
AT4G24820.2	6.17029	0.759773	0.24118	0.45718495	0.99999982	0
AT4G25050.1	8.30886	0.510094	0	0.62381961	0.99999982	0
AT4G25080.1	6.05654	-1.324211	-0.24287	0.68062299	0.99999982	0
AT4G25080.2	6.39326	-2.168479	-0.72667	0.36393058	0.99999982	0
AT4G25100.2	4.68991	0.796141	0.10918	0.70517338	0.99999982	0
AT4G25100.5	5.5405	0.199045	0	0.91210456	0.99999982	0
AT4G25170.1	5.8298	-1.273403	-0.47099	0.44380068	0.99999982	0
AT4G25650.1	7.1138	-0.694147	-0.1689	0.4758189	0.99999982	0
AT4G26860.1	5.92464	0.842143	0.39598	0.37996895	0.99999982	0
AT4G27800.3	6.1956	-1.276528	-0.23002	0.68798088	0.99999982	0
AT4G28030.2	5.04286	-2.67756	-0.93143	0.28039479	0.99999982	0
AT4G28660.1	7.58487	-0.289143	0	0.80094232	0.99999982	0
AT4G29060.2	5.49913	-3.171696	-0.52082	0.5431378	0.99999982	0
AT4G29810.1	5.95092	0.684008	0.13832	0.50301964	0.99999982	0
AT4G29950.2	6.45715	-0.527252	0	0.61902668	0.99999982	0
AT4G30210.2	7.62795	0.169735	0	0.90304678	0.99999982	0
AT4G31180.2	6.57848	0.353655	0	0.72086512	0.99999982	0
AT4G31700.2	4.65357	1.629009	0.55827	0.43021039	0.99999982	0
AT4G31800.2	6.95694	0.117588	0	0.91073227	0.99999982	0
AT4G31990.2	6.06803	1.628079	1.00852	0.20248654	0.99999982	0
AT4G32590.4	5.53509	-0.68231	-0.052	0.73825739	0.99999982	0
AT4G34100.2	6.83634	0.269151	0	0.79556738	0.99999982	0
AT4G34710.2	7.06457	1.472195	0.86982	0.24285506	0.99999982	0
AT4G35450.2	4.94748	-2.409786	-0.59692	0.46061354	0.99999982	0
AT4G35450.4	5.76226	3.637979	2.11895	0.04182791	0.773403311	0
AT4G35600.1	5.80924	1.448023	1.16291	0.15077252	0.953749755	0
AT4G35790.2	5.66778	-1.568699	-0.49093	0.47435208	0.99999982	0
AT4G36730.2	6.94267	0.214803	0	0.86545934	0.99999982	0
AT4G37180.1	6.10533	-0.149575	0	0.8973749	0.99999982	0
AT4G37980.2	5.33155	2.509992	1.73548	0.07096568	0.892272804	0
AT4G38220.1	6.43561	0.882869	0.70988	0.25236148	0.99999982	0
AT4G38600.2	5.33297	3.463341	2.47476	0.02252149	0.566125564	0
AT4G40030.1	7.2162	0.55738	0	0.54666346	0.99999982	0
AT1G01090.1	7.42164	0.33937	0	0.7766922	0.99999982	0
AT1G01320.1	7.06618	-0.669476	-0.03194	0.81141346	0.99999982	0
AT1G01620.1	5.84373	-3.718235	-0.4906	0.57751599	0.99999982	0
AT1G01790.1	7.74599	0.192473	0	0.86086323	0.99999982	0
AT1G01960.1	6.39974	0.90331	0.60496	0.29129679	0.99999982	0
AT1G02120.1	5.85758	1.520447	1.14368	0.15816685	0.962279306	0
AT1G02150.1	6.23042	-0.043231	0	0.96903989	0.99999982	0
AT1G02500.1	7.1139	0.426993	0	0.65815935	0.99999982	0
AT1G02560.1	8.1025	-0.379846	0	0.75362263	0.99999982	0
AT1G02660.1	7.40644	-0.745269	-0.3593	0.3725215	0.99999982	0
AT1G02780.1	8.28177	0.059985	0	0.97691972	0.99999982	0
AT1G03060.1	6.27722	0.128993	0	0.89923556	0.99999982	0
AT1G03130.1	9.96467	-1.1986	-3.12508	0.00670752	0.262338471	0
AT1G03220.1	6.52144	0.240871	0	0.81154888	0.99999982	0
AT1G03370.1	6.30731	1.424329	1.48183	0.09109084	0.915267873	0
AT1G03475.1	7.83064	-1.209186	-1.59981	0.07416453	0.89484183	0
AT1G03600.1	8.7683	-0.693096	-0.44808	0.33306904	0.99999982	0
AT1G03630.1	4.88289	-2.333554	-0.62153	0.43976925	0.99999982	0
AT1G03680.1	8.05263	-0.84372	-0.74612	0.239572	0.99999982	0
AT1G03870.1	7.66672	-1.145571	-1.20348	0.13365714	0.950375271	0
AT1G03900.1	6.21015	0.629417	0.06694	0.52577064	0.99999982	0
AT1G04170.1	6.47714	0.255779	0	0.79906894	0.99999982	0
AT1G04270.1	5.5881	-0.524209	0	0.77552709	0.99999982	0
AT1G04350.1	5.77667	-0.188769	0	0.88809562	0.99999982	0
AT1G04400.2	7.19104	-1.290153	-1.44013	0.09545936	0.915267873	0
AT1G04410.1	9.23609	-0.117293	0	0.96076853	0.99999982	0
AT1G04420.1	6.31132	0.330896	0	0.74715142	0.99999982	0
AT1G04440.1	6.10789	-0.461237	0	0.71465127	0.99999982	0
AT1G04530.1	6.3859	0.570132	0	0.56459069	0.99999982	0
AT1G04690.1	6.23824	-0.127228	0	0.91041591	0.99999982	0
AT1G04800.1	7.25295	-0.55804	0	0.53885146	0.99999982	0
AT1G04820.1	6.95269	-0.615876	-0.06329	0.49462724	0.99999982	0
AT1G05010.1	7.56192	1.212136	1.77624	0.05644038	0.847671437	0
AT1G05135.1	8.58928	-0.239235	0	0.88662834	0.99999982	0
AT1G05190.1	8.41784	-0.659855	-0.24217	0.40899741	0.99999982	0
AT1G05560.1	6.29286	-1.48237	-0.86256	0.24657653	0.99999982	0
AT1G05850.1	8.13883	0.718068	0.37466	0.36157396	0.99999982	0
AT1G05940.1	6.04083	0.174857	0	0.87722295	0.99999982	0
AT1G06040.1	7.11442	0.458405	0	0.63197574	0.99999982	0
AT1G06290.1	6.63428	-1.616583	-0.88473	0.24763777	0.99999982	0
AT1G06410.1	7.58029	0.749434	0.33144	0.38750478	0.99999982	0
AT1G06430.1	8.018	0.113441	0	0.94833099	0.99999982	0
AT1G06460.1	7.23086	-0.216524	0	0.83185819	0.99999982	0
AT1G06680.1	10.87537	-1.110079	-1.11177	0.15193224	0.955239866	0
AT1G06760.1	6.27341	-0.248476	0	0.83990571	0.99999982	0
AT1G06950.1	7.14214	-0.186628	0	0.87183017	0.99999982	0
AT1G07110.1	7.2234	0.149223	0	0.88410231	0.99999982	0
AT1G07135.1	8.15667	-0.86748	-0.91317	0.19408321	0.99999982	0
AT1G07140.1	7.06458	-0.230794	0	0.85319275	0.99999982	0
AT1G07180.1	6.58167	1.623704	1.25716	0.13497361	0.950375271	0
AT1G07320.1	7.52148	0.747391	0.12992	0.60805883	0.99999982	0
AT1G07590.1	9.09431	-1.227494	-2.21493	0.02824745	0.644460353	0
AT1G07600.1	7.94014	-1.810256	-2.52005	0.01784642	0.513804576	0
AT1G07890.3	7.60074	0.199567	0	0.86280388	0.99999982	0
AT1G07920.1	8.72424	0.517896	0	0.58962745	0.99999982	0
AT1G07930.1	9.04464	0.612271	0.0712	0.47919231	0.99999982	0
AT1G07940.1	8.57974	-0.579719	0	0.51063109	0.99999982	0
AT1G08190.1	6.68015	0.441758	0	0.64787737	0.99999982	0
AT1G08200.1	5.6865	2.777931	1.60729	0.09147751	0.915267873	0
AT1G08360.1	7.33959	-0.257012	0	0.81709163	0.99999982	0
AT1G08380.1	11.33485	-1.326523	-5.4822	0.00025351	0.029745394	0
AT1G08420.1	6.89571	0.511837	0	0.58299829	0.99999982	0
AT1G08450.1	6.55205	1.859562	1.582	0.08309379	0.905942893	0
AT1G08510.1	6.90037	0.340824	0	0.73551203	0.99999982	0
AT1G08520.1	8.24506	-0.78216	-0.65854	0.26479384	0.99999982	0
AT1G08540.1	6.07524	1.385921	1.20776	0.13863142	0.950375271	0
AT1G08980.1	5.91049	0.862371	0.32929	0.43630589	0.99999982	0
AT1G09070.1	9.10126	-1.223825	-1.92936	0.04441371	0.787304933	0
AT1G09130.3	4.76012	0.750765	0.08383	0.72645526	0.99999982	0
AT1G09140.1	5.82958	0.419281	0	0.73863897	0.99999982	0
AT1G09210.1	6.52466	1.283686	1.13206	0.15234278	0.955239866	0
AT1G09310.1	7.98065	-0.127782	0	0.92627071	0.99999982	0
AT1G09340.1	10.22151	0.227704	0	0.97715931	0.99999982	0
AT1G09620.1	7.02281	0.719433	0.35484	0.36988469	0.99999982	0
AT1G09690.1	7.31119	0.784966	0.49051	0.32288018	0.99999982	0
AT1G09750.1	6.37205	-1.100793	-0.5165	0.3736312	0.99999982	0
AT1G09770.1	6.98958	0.544346	0	0.57133163	0.99999982	0
AT1G09780.1	6.00287	1.714161	1.33452	0.12133781	0.939512061	0
AT1G09795.1	5.82958	0.31408	0	0.78365594	0.99999982	0
AT1G09970.2	6.77131	1.456901	0.98926	0.19912514	0.99999982	0
AT1G10020.1	6.22641	1.540524	1.6008	0.07671962	0.89484183	0
AT1G10095.1	9.20874	1.599946	2.33876	0.0235651	0.574895171	0
AT1G10170.1	6.30324	1.038819	0.85351	0.21608966	0.99999982	0
AT1G10470.1	6.18414	-0.473162	0	0.67165916	0.99999982	0
AT1G10550.1	4.87761	3.670916	2.92118	0.01094388	0.358322955	0
AT1G10760.1	8.30937	-0.685264	-0.34003	0.37229359	0.99999982	0
AT1G10960.1	9.40253	-0.556964	0	0.5442225	0.99999982	0
AT1G11260.1	9.14551	-0.585314	-0.0016	0.49968509	0.99999982	0
AT1G11310.1	6.77505	0.78133	0.49082	0.32240048	0.99999982	0
AT1G11430.1	6.44632	0.751313	0.29155	0.41187658	0.99999982	0
AT1G11650.2	7.4793	0.749706	0.51243	0.31228058	0.99999982	0
AT1G11720.2	5.64	-1.251497	-0.39293	0.50674366	0.99999982	0
AT1G11860.1	9.02229	0.874615	0.18095	0.62408052	0.99999982	0
AT1G11910.1	8.78164	-0.036936	0	0.98468044	0.99999982	0
AT1G12090.1	9.10016	-1.305016	-2.11201	0.03336044	0.698592694	0
AT1G12240.1	6.83148	1.459006	2.14137	0.03208195	0.687390693	0
AT1G12410.1	6.52723	-0.062184	0	0.95487516	0.99999982	0
AT1G12780.1	6.9989	-1.213299	-0.89782	0.21325247	0.99999982	0
AT1G12800.1	7.75431	0.049537	0	0.96656739	0.99999982	0
AT1G12900.1	6.3551	3.137566	2.209	0.03418555	0.701943286	0
AT1G12920.1	6.14221	-0.024717	0	0.98187686	0.99999982	0
AT1G13110.1	5.76344	1.046113	0.50963	0.36555177	0.99999982	0
AT1G13190.1	6.34573	0.683356	0.21059	0.43186865	0.99999982	0
AT1G13210.1	6.67869	1.536187	1.1785	0.15016506	0.953749755	0
AT1G13245.1	5.66975	-1.7692	-0.62074	0.40109019	0.99999982	0
AT1G13260.1	6.56915	-0.919074	-0.43518	0.37938809	0.99999982	0
AT1G13440.1	9.67376	0.641478	0.29996	0.38585148	0.99999982	0
AT1G13930.1	7.45397	-3.22499	-2.57385	0.01866468	0.528618119	0
AT1G14320.1	7.09715	0.229423	0	0.87570679	0.99999982	0
AT1G14345.1	6.41775	0.872846	0.33635	0.43514326	0.99999982	0
AT1G14610.1	6.42606	0.909494	0.7306	0.24715803	0.99999982	0
AT1G14740.1	7.23086	0.373338	0	0.70446311	0.99999982	0
AT1G14810.1	5.84373	0.989669	0.59201	0.30922702	0.99999982	0
AT1G14880.1	6.96581	-0.993239	-0.61655	0.29853316	0.99999982	0
AT1G15130.1	6.2853	0.567521	0	0.53933019	0.99999982	0
AT1G15140.1	6.93798	-0.234761	0	0.82647922	0.99999982	0
AT1G15290.1	7.53905	0.328646	0	0.78315909	0.99999982	0
AT1G15340.1	5.18236	-2.700153	-0.73324	0.38496694	0.99999982	0
AT1G15500.1	7.2616	0.763366	0.41419	0.35123625	0.99999982	0
AT1G15690.1	9.87674	0.157003	0	0.97701596	0.99999982	0
AT1G15740.1	5.85403	1.942792	1.47208	0.10107241	0.915267873	0
AT1G15750.1	5.60079	-0.959499	-0.20197	0.63644552	0.99999982	0
AT1G15820.1	11.49402	-0.654799	-0.51737	0.30917273	0.99999982	0
AT1G15930.2	6.68088	-0.192056	0	0.85871543	0.99999982	0
AT1G15980.1	8.10335	-0.304737	0	0.83127502	0.99999982	0
AT1G16080.1	7.53648	-1.802435	-2.33845	0.02393452	0.578182906	0
AT1G16180.1	6.61959	-0.191794	0	0.85596781	0.99999982	0
AT1G16320.1	5.61533	-0.439848	0	0.78688842	0.99999982	0
AT1G16720.1	7.82928	0.067474	0	0.96751883	0.99999982	0
AT1G16880.1	8.98993	0.501073	0	0.63135868	0.99999982	0
AT1G17080.1	6.10789	-0.037011	0	0.97422312	0.99999982	0
AT1G17210.1	6.24456	1.276367	1.17847	0.14178982	0.953749755	0
AT1G17220.1	8.74453	-0.167583	0	0.9111444	0.99999982	0
AT1G17290.1	7.41052	-0.140096	0	0.90177394	0.99999982	0
AT1G17360.1	6.25674	0.749623	0.3057	0.40220288	0.99999982	0
AT1G17620.1	6.50872	-0.534575	0	0.58972259	0.99999982	0
AT1G18020.1	6.27969	1.246759	0.78628	0.25664949	0.99999982	0
AT1G18060.1	6.18216	-0.214392	0	0.85170452	0.99999982	0
AT1G18080.1	7.6623	0.191955	0	0.9021801	0.99999982	0
AT1G18540.1	6.13208	-0.602321	-0.01516	0.65852201	0.99999982	0
AT1G18720.1	6.58875	-0.781889	-0.2744	0.44112564	0.99999982	0
AT1G19000.1	6.22718	2.067523	1.81328	0.05848382	0.847671437	0
AT1G19150.1	7.15453	-0.811102	-0.50241	0.32113515	0.99999982	0
AT1G19450.1	7.14841	-0.982338	-0.90059	0.2000269	0.99999982	0
AT1G19660.1	7.57001	-0.233406	0	0.85545828	0.99999982	0
AT1G19720.1	6.73848	0.236037	0	0.82860389	0.99999982	0
AT1G19740.1	6.54348	-1.324481	-0.52991	0.40846253	0.99999982	0
AT1G19770.1	7.86581	-1.265976	-1.6218	0.07199484	0.89484183	0
AT1G19910.1	5.90583	-1.162329	-0.38895	0.48935054	0.99999982	0
AT1G19920.1	6.16598	0.681513	0.12802	0.51561193	0.99999982	0
AT1G20010.1	6.48466	-0.319117	0	0.79578103	0.99999982	0
AT1G20020.1	10.39527	-0.658241	-0.46079	0.32838211	0.99999982	0
AT1G20110.1	6.70613	-0.296274	0	0.76756093	0.99999982	0
AT1G20260.1	7.24625	-0.342114	0	0.76126176	0.99999982	0
